station_a,station_b,distance_km
AB__-_Ad_A1,Selzthal-Nord,5.357199584105771
Frauenberg_a.d.Enns,Selzthal-Nord,5.390349851440518
Liezen,Selzthal,5.557869352706108
Selzthal,Selzthal-Sud,1.2709612339422822
Abzw_Hf_1,Wien_Penzing_Fbf,1.0992975761879797
Wien_Hutteldorf_Zehetnergasse,Wien_Penzing_Fbf,0.7598614134564556
AB__-_Wen_A1,AB__-_Wen_A2,4.442234601779959
AB__-_Wen_A1,Eppenstein_Lst,0.8122195852697454
AB__-_Wen_A2,Obdach,2.7862431776447774
Mandling,Radstadt,7.854954360404001
Mandling,Pichl,4.054675516841894
Altenmarkt_im_Pongau,Radstadt,2.932652114332284
Krieglach,Ust_Mz_2,4.15398822694771
Langenwang [BSTS_ID=1489],Ust_Mz_2,0.46378467171520643
Krieglach,Mitterdorf-Veitsch,3.718186304703313
Bernhardsthal_Fbf,Rabensburg,2.9304080452804446
Hohenau,Rabensburg,5.98833742820573
Bernhardsthal,Bernhardsthal_Fbf,1.2713282304947973
Abzw_Knoten_St.Peter-Seitenstetten_West,St.Johann-Weistrach,0.300819596721898
Abzw_Knoten_St.Peter-Seitenstetten_West,St.Peter-Seitenstetten,3.107141335562269
Abzw_Knoten_St.Peter-Seitenstetten_West,Sbl Sp 1 [BSTS_ID=1352011],2.3841451549709745
Abzw_Knoten_St.Peter-Seitenstetten_West,Sbl Spw 1 [BSTS_ID=1014539],2.6711156613804645
Sbl Spw 11 [BSTS_ID=762],St.Johann-Weistrach,2.9301396239875768
Abzww_Ne,Wiener_Neustadt_Hbf-Einfahrbf,0.9699280352085083
Wiener_Neustadt_Hbf-Ausfahrbf,Wiener_Neustadt_Hbf-Einfahrbf,1.0622662539926075
Abzww_Ne,Wiener_Neustadt_Hbf-Gleisgr_700,0.6705537487624453
Abzww_Ne,Sbl Nb 1 [BSTS_ID=1502],1.8645825364710007
Neudorf/Novo_Selo,Neudorf_Lst,1.0373263486193711
Brunn_an_der_Schneebergbahn,Winzendorf,3.7813824823737963
Urschendorf,Winzendorf,2.1966400297689006
AB__-_Kre_A1,Kremsmunster,1.7544559963729527
Kremsmunster,Rohr-Bad_Hall,4.35918246676207
AB__-_Kre_A1,Krift,2.009058351311032
AB__-_Gld_A1,Gleisdorf,1.964705575591999
Rum,Sbl H 1 [BSTS_ID=758],0.6784959348088895
St.Valentin,St.Valentin-Ennskanalbrucke,1.7385134092214933
Sbl Spw 14 [BSTS_ID=1352064],St.Valentin,2.440008787541731
Sbl Spw 5 [BSTS_ID=1352035],St.Valentin,2.2711434771500203
Abzw_Sv_11,St.Valentin-Ennskanalbrucke,1.9050294317816663
Sbl Sv 1 [BSTS_ID=1946325],St.Valentin-Ennskanalbrucke,2.4086357096103255
Leoben_Hbf,Leoben_West,0.9334038556874847
Leoben_Donawitz,Leoben_Hbf,2.427222750162839
Leoben_Hbf,Leoben_Lerchenfeld,1.9070809279218977
Leoben_Goss,Leoben_West,0.8620930820170986
Leoben_West,Ust_Leb_1,3.0722009388460267
AB__-_Ln_A1,Liezen,2.16683312513537
Bregenz_Hafen,Lochau-Horbranz,2.567380420480149
Bregenz,Bregenz_Hafen,0.7940007173307654
EU_Staatsgrenze_nachst_Lochau-Horbranz,Lochau-Horbranz,0.7724785039065803
Lindau-Reutin_Grenze,Lochau-Horbranz,0.7724785039065803
Abzw_Cf_1,Abzww_Zur,1.911245269366861
Abzww_Zur,Wien_Zvbf-Einfgr,1.1671918480344121
Abzww_Zur,Wien_Zvbf,0.3357372601408229
Abzww_Zur,Zentralfriedhof,0.753935223071583
Abzw_Cf_1,Zentralfriedhof,2.372854139859657
Pinkafeld,Sinnersdorf,3.291713833523739
Schaffernsteg,Sinnersdorf,2.4495943738388988
Pinkafeld,Pinkafeld_Schule,0.6466031875178619
Obersdorf [BSTS_ID=1605],Pillichsdorf,1.5168831028106446
Gro_Engersdorf,Pillichsdorf,2.4389221611197516
Hasenleiten,Wien_Zvbf-Einfgr,1.5596205259987894
Wien_Hbf-Sudosttangente,Wien_Zvbf-Einfgr,2.5119460504682976
Wien_Grillgasse,Wien_Zvbf-Einfgr,1.4379221106407845
Kapellerfeld,Seyring,1.58553673326081
Kapellerfeld,Sbl Gef 1 [BSTS_ID=1400794],0.0935467398123888
Seyring,Ust_Gef_2,0.3734921453101649
Traunkirchen,Traunkirchen_Ort,1.5817425788063966
